Tev,COP,CR,Tco-Tev
-100,8.296418196168002,5.159203980099503,20
-90,8.757023185586316,4.255717255717255,20
-80,9.221046696476794,3.616200578592092,20
-70,9.680750619615246,3.1524181729360037,20
-60,10.122767402607389,2.8061333333333334,20
-50,10.575852597292105,2.539748953974896,20
-48,10.649235541768237,2.4939118264520648,20
-46,10.753102289266916,2.450468710412972,20
-44,10.827270332164657,2.4087306145893166,20
-42,10.919410228464503,2.3691022964509396,20
-40,11.007743853153613,2.3311793214862684,20
-38,11.085216012683272,2.2949384642052353,20
-36,11.17551799579598,2.260294583465315,20
-34,11.257849666983798,2.227150829890556,20
-32,11.330608287518073,2.195215946843854,20
-30,11.413423021269205,2.1648056623344925,20
-28,11.506352087114298,2.135585610864807,20
-26,11.575034329807512,2.107578577336642,20
-24,11.650366676957251,2.0806943914536435,20
-22,11.731444170024698,2.0548114205146284,20
-20,11.800918634384692,2.0300436182789126,20
-18,11.868305264755039,2.0061180558178178,20
-16,11.938057943016762,1.983148232491329,20
-14,12.00905920301475,1.9610453007029418,20
-12,12.091579847366896,1.9398268660330529,20
-10,12.16226633262666,1.9193043772372391,20
-8,12.211957582460494,1.8995637777894574,20
-6,12.286146308609565,1.880546493659398,20
-4,12.355530542099665,1.8621985880627119,20
-2,12.417172410512192,1.844497812848443,20
0,12.489217966146157,1.8273860920902028,20
2,12.545670889619903,1.8108998493975903,20
4,12.602708595209139,1.7948944439537142,20
6,12.669503750721262,1.7796511724389719,20
8,12.690659248388155,1.7646049182374235,20
10,12.748478175441774,1.7503487774432775,20
12,12.805121446055324,1.7364358243643305,20
14,12.842494536896943,1.7230135128084727,20
16,12.887481862551121,1.709910885726946,20
18,12.910460093010013,1.6973959544292025,20
20,12.951578476125018,1.6852376870838004,20
22,13.000528476767327,1.6734757523779822,20
24,13.025314156442521,1.6621062992125986,20
26,13.021496015536142,1.6508765386049982,20
28,13.071093037332606,1.6403749226279953,20
30,13.079328234754051,1.629918617333669,20
32,13.080510338759336,1.6199012109623965,20
34,13.071807797500945,1.6101438304314912,20
36,13.067345269471982,1.60084940973222,20
38,13.091552820360793,1.5916718033011437,20
40,13.049698795180763,1.5828768909754827,20
50,12.780478779718218,1.5429042054872084,20
60,12.182943197069966,1.5092893923789907,20
65,11.628578301659982,1.4948171183177845,20
70,10.749798441279232,1.4820511109628347,20
75,8.88429752066115,1.4716219067426228,20
-70,8.760492876395832,3.4904738641915,22
-60,9.155989088203702,3.0768,22
-50,9.555974703206493,2.761351309468465,22
-48,9.6294263464056,2.7073477956613017,22
-46,9.7162663890069,2.6561945781606284,22
-44,9.780080012950085,2.6072372199885123,22
-42,9.86870527245063,2.5606471816283927,22
-40,9.944285714285687,2.516297633754633,22
-38,10.016750903921277,2.4738256196914548,22
-36,10.091940742771541,2.4333227747861894,22
-34,10.163384419915827,2.3945785315648327,22
-32,10.232223530240391,2.357408637873754,22
-30,10.31508528240218,2.321923241198365,22
-28,10.387222737230243,2.287951063471575,22
-26,10.448113578770073,2.2553763440860215,22
-24,10.516403951631347,2.2241510873712325,22
-22,10.587917869573399,2.194175185054635,22
-20,10.645708037178808,2.16542334189393,22
-18,10.712087692742784,2.137731787454209,22
-16,10.769533335206338,2.1111656097817324,22
-14,10.840062040965302,2.0856547774017185,22
-12,10.908080960040696,2.0611114474241785,22
-10,10.9665874622312,2.0374305927450043,22
-8,11.019721191359803,2.014715929994219,22
-6,11.080538006191025,1.9927886384262552,22
-4,11.137703292465728,1.9716695700009168,22
-2,11.201014206346233,1.951325156531435,22
0,11.24649551110411,1.931665294483825,22
2,11.3057885074235,1.9126506024096386,22
4,11.35950445419832,1.894532285133822,22
6,11.390522811311568,1.876732106407342,22
8,11.436909022917911,1.8597865435026837,22
10,11.481933428242172,1.8433071444305749,22
12,11.526917251824305,1.827463132556788,22
14,11.562353697479573,1.811968487504565,22
16,11.579737761123113,1.7971788685933732,22
18,11.628510092641916,1.7828411997209952,22
20,11.64893811455936,1.7689721105030656,22
22,11.684740194584643,1.755496647434898,22
24,11.688869789428516,1.74251968503937,22
26,11.697526847975064,1.729858261842596,22
28,11.739659367396609,1.7178353523742154,22
30,11.737081765986881,1.705931705680007,22
32,11.725918122823808,1.6945506692160608,22
34,11.727945687292943,1.6834973504920516,22
36,11.720465890183046,1.6729052692196946,22
38,11.723816386216328,1.6625573590849945,22
48,11.470669745958437,1.6157619535335022,22
58,10.930951142656085,1.5765060240963857,22
-70,7.980479097901981,3.8563751831949196,24
-60,8.343192340027308,3.367466666666667,24
-50,8.711026444990406,2.9976754997675505,24
-48,8.773470410610521,2.934639608117565,24
-46,8.84857553569779,2.8750950088674943,24
-44,8.912346168100086,2.818035611717404,24
